Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 024;ACTED;Shelterbox;;Sindhupalchok;Yamuna Danda;All;Shelter;Tarpaulin;All / Blanket;1010;489;4400;;;Completed;10/07/2015;10/07/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 034;ACTED;Internal;;Solukhumbu;Bhakanje;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;408;204;17600;22;;Completed;19/07/2015;20/07/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 034;ACTED;Internal;;Solukhumbu;Bhakanje;All;Shelter;Tarpaulin;All / Blanket;408;204;4400;22;;Completed;19/07/2015;20/07/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 034;ACTED;Internal;;Solukhumbu;Bhakanje;All;NFI;Blankets;All / Blanket;1020;204;24150;22;;Completed;19/07/2015;20/07/2015;5 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 034;ACTED;Internal;;Solukhumbu;Bhakanje;All;Shelter;Tool Kits;All / Blanket;204;204;2806;22;;Completed;19/07/2015;20/07/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 032;ACTED;Internal;;Solukhumbu;Chaulakharka;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;440;220;17600;37;;Completed;21/07/2015;21/07/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 032;ACTED;Internal;;Solukhumbu;Chaulakharka;All;Shelter;Tarpaulin;All / Blanket;438;219;4400;37;;Completed;21/07/2015;21/07/2015;One HH did not receive the 2 tarps
;;;26/09/2015;524 1 03 11;524 1 03 11 5 032;ACTED;Internal;;Solukhumbu;Chaulakharka;All;NFI;Blankets;All / Blanket;1132;228;24150;37;;Completed;21/07/2015;21/07/2015;8 extra HH received 4 blankets each
;;;26/09/2015;524 1 03 11;524 1 03 11 5 032;ACTED;Internal;;Solukhumbu;Chaulakharka;All;Shelter;Tool Kits;All / Blanket;220;220;2806;37;;Completed;21/07/2015;21/07/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 006;ACTED;Internal;;Solukhumbu;Chourikharka;Unknown;Shelter;Tarpaulin;All / Blanket;15;15;2200;;;Completed;13/05/2015;13/05/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 033;ACTED;Internal;;Solukhumbu;Goli;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;446;223;17600;49;;Completed;19/07/2015;19/07/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 033;ACTED;Internal;;Solukhumbu;Goli;All;Shelter;Tarpaulin;All / Blanket;446;223;4400;49;;Completed;19/07/2015;19/07/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 033;ACTED;Internal;;Solukhumbu;Goli;All;NFI;Blankets;All / Blanket;1125;225;24150;49;;Completed;19/07/2015;19/07/2015;5 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 033;ACTED;Internal;;Solukhumbu;Goli;All;Shelter;Tool Kits;All / Blanket;225;225;2806;49;;Completed;19/07/2015;19/07/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;434;217;17600;38;;Completed;13/07/2015;13/07/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;Shelter;Tarpaulin;All / Blanket;434;217;4400;38;;Completed;13/07/2015;13/07/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;NFI;Blankets;All / Blanket;1085;217;24150;38;;Completed;11/07/2015;11/07/2015;5 blankets/HH
