Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
;;;26/09/2015;524 1 03 11;524 1 03 11 5 015;ACTED;Internal;;Solukhumbu;Gudel;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;420;210;17600;16;5;Completed;02/09/2015;02/09/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 015;ACTED;Internal;;Solukhumbu;Gudel;All;Shelter;Tarpaulin;All / Blanket;420;210;4400;16;5;Completed;02/09/2015;02/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 015;ACTED;Internal;;Solukhumbu;Gudel;All;NFI;Blankets;All / Blanket;1470;210;24150;16;5;Completed;02/09/2015;02/09/2015;7 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 015;ACTED;Internal;;Solukhumbu;Gudel;All;Shelter;Tool Kits;All / Blanket;210;210;2806;16;5;Completed;02/09/2015;02/09/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;450;225;17600;16;5;Completed;02/09/2015;02/09/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;Shelter;Tarpaulin;All / Blanket;450;225;4400;16;5;Completed;02/09/2015;02/09/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;NFI;Blankets;All / Blanket;1575;225;24150;16;5;Completed;02/09/2015;02/09/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;Shelter;Tool Kits;All / Blanket;225;225;2806;16;5;Completed;02/09/2015;02/09/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;452;226;17600;34;38;Completed;06/09/2015;06/09/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;Shelter;Tarpaulin;All / Blanket;452;226;4400;34;38;Completed;06/09/2015;06/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;NFI;Blankets;All / Blanket;1582;226;24150;34;38;Completed;06/09/2015;06/09/2015;7 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;Shelter;Tool Kits;All / Blanket;226;226;2806;34;38;Completed;06/09/2015;06/09/2015;1 Toolkit 
;;;26/09/2015;524 1 03 11;524 1 03 11 5 013;ACTED;Internal;;Solukhumbu;Chheskam;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;256;128;17600;23;1;Completed;03/09/2015;03/09/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 013;ACTED;Internal;;Solukhumbu;Chheskam;All;Shelter;Tarpaulin;All / Blanket;256;128;4400;23;1;Completed;03/09/2015;03/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 013;ACTED;Internal;;Solukhumbu;Chheskam;All;NFI;Blankets;All / Blanket;896;128;24150;23;1;Completed;03/09/2015;03/09/2015;7 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 013;ACTED;Internal;;Solukhumbu;Chheskam;All;Shelter;Tool Kits;All / Blanket;128;128;2806;23;1;Completed;03/09/2015;03/09/2015;1 Toolkit 
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;244;122;17600;13;8;Completed;04/09/2015;04/09/2015;2 bundles/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;Shelter;Tarpaulin;All / Blanket;244;122;4400;13;8;Completed;04/09/2015;04/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;NFI;Blankets;All / Blanket;854;122;24150;13;8;Completed;04/09/2015;04/09/2015;7 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;Shelter;Tool Kits;All / Blanket;122;122;2806;13;8;Completed;04/09/2015;04/09/2015;1 Toolkit 
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;332;166;17600;13;18;Completed;05/09/2015;05/09/2015;1 bundle/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;Shelter;Tarpaulin;All / Blanket;332;166;4400;13;18;Completed;05/09/2015;05/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;NFI;Blankets;All / Blanket;1162;166;24150;13;18;Completed;05/09/2015;05/09/2015;7 blankets/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;Shelter;Tool Kits;All / Blanket;166;166;2806;13;18;Completed;05/09/2015;05/09/2015;1 Toolkit 
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;Shelter;Tarpaulin;All / Blanket;254;127;4400;14;1;Completed;06/09/2015;06/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;All;NFI;Blankets;All / Blanket;254;127;24150;14;1;Completed;06/09/2015;06/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;Shelter;Tarpaulin;All / Blanket;22;11;4400;1;0;Completed;04/09/2015;04/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;All;NFI;Blankets;All / Blanket;22;11;24150;1;0;Completed;04/09/2015;04/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;Shelter;Tarpaulin;All / Blanket;288;144;4400;10;9;Completed;05/09/2015;05/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;NFI;Blankets;All / Blanket;288;144;24150;10;9;Completed;05/09/2015;05/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;All;Shelter;CGI Bundle (72ft/bundle);All / Blanket;144;144;17600;10;9;Completed;05/09/2015;05/09/2015;1 bundle/HH
;;;26/09/2015;524 1 03 11;;ACTED;Internal;;Solukhumbu;;All;Shelter;Tarpaulin;All / Blanket;1798;899;4400;253;187;Completed;05/09/2015;05/09/2015;2 tarps/HH VDC Dudhkunda
;;;26/09/2015;524 1 03 11;;ACTED;Internal;;Solukhumbu;;All;NFI;Blankets;All / Blanket;1798;899;24150;253;187;Completed;05/09/2015;05/09/2015;2 Pcs. per HH VDC Dudhkunda
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;Shelter;Tarpaulin;All / Blanket;76;38;4400;2;6;Completed;04/09/2015;04/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;All;NFI;Blankets;All / Blanket;76;38;24150;2;6;Completed;04/09/2015;04/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;Shelter;Tarpaulin;All / Blanket;64;32;4400;3;2;Completed;03/09/2015;03/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;NFI;Blankets;All / Blanket;64;32;24150;3;2;Completed;03/09/2015;03/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 022;ACTED;Internal;;Solukhumbu;Nele;All;Shelter;Tarpaulin;All / Blanket;394;197;4400;36;31;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 022;ACTED;Internal;;Solukhumbu;Nele;All;NFI;Blankets;All / Blanket;394;197;24150;36;31;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 011;ACTED;Internal;;Solukhumbu;Powai;All;Shelter;Tarpaulin;All / Blanket;258;128;4400;23;19;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 011;ACTED;Internal;;Solukhumbu;Powai;All;NFI;Blankets;All / Blanket;258;128;24150;23;19;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 018;ACTED;Internal;;Solukhumbu;Jubu;All;Shelter;Tarpaulin;All / Blanket;324;162;4400;35;75;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 018;ACTED;Internal;;Solukhumbu;Jubu;All;NFI;Blankets;All / Blanket;324;162;24150;35;75;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 017;ACTED;Internal;;Solukhumbu;Likhim;All;Shelter;Tarpaulin;All / Blanket;172;86;4400;19;5;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 017;ACTED;Internal;;Solukhumbu;Likhim;All;NFI;Blankets;All / Blanket;172;86;24150;19;5;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 024;ACTED;Internal;;Solukhumbu;Deusa;All;Shelter;Tarpaulin;All / Blanket;598;299;4400;44;48;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 024;ACTED;Internal;;Solukhumbu;Deusa;All;NFI;Blankets;All / Blanket;598;299;24150;44;48;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 019;ACTED;Internal;;Solukhumbu;Kagel;All;Shelter;Tarpaulin;All / Blanket;330;165;4400;23;28;Completed;08/09/2015;08/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 019;ACTED;Internal;;Solukhumbu;Kagel;All;NFI;Blankets;All / Blanket;330;165;24150;23;28;Completed;08/09/2015;08/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 023;ACTED;Internal;;Solukhumbu;Mukli;All;Shelter;Tarpaulin;All / Blanket;358;179;4400;36;23;Completed;08/09/2015;08/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 023;ACTED;Internal;;Solukhumbu;Mukli;All;NFI;Blankets;All / Blanket;358;179;24150;36;23;Completed;08/09/2015;08/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 020;ACTED;Internal;;Solukhumbu;Panchan;All;Shelter;Tarpaulin;All / Blanket;244;122;4400;21;26;Completed;08/09/2015;08/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 020;ACTED;Internal;;Solukhumbu;Panchan;All;NFI;Blankets;All / Blanket;244;122;24150;21;26;Completed;08/09/2015;08/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 012;ACTED;Internal;;Solukhumbu;Kanku;All;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 034;ACTED;Internal;;Solukhumbu;Bhakanje;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 032;ACTED;Internal;;Solukhumbu;Chaulakharka;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 014;ACTED;Internal;;Solukhumbu;Bung;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;17/08/2015;19/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 013;ACTED;Internal;;Solukhumbu;Chheskam;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;17/08/2015;19/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 015;ACTED;Internal;;Solukhumbu;Gudel;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;17/08/2015;19/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 009;ACTED;Internal;;Solukhumbu;Sotang;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;17/08/2015;19/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 016;ACTED;Internal;;Solukhumbu;Waku;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 010;ACTED;Internal;;Solukhumbu;Wasa;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;524 1 03 11 5 033;ACTED;Internal;;Solukhumbu;Goli;;Labor;Technical Supervision Support;Targeted group;18;6;;;;Completed;25/07/2015;29/08/2015;
;;;26/09/2015;524 1 03 11;;ACTED;Internal;;Solukhumbu;;All;Shelter;Tarpaulin;All / Blanket;176;88;4400;39;30;Completed;18/09/2015;18/09/2015;2 tarps/HH VDC Dudhkunda
;;;26/09/2015;524 1 03 11;;ACTED;Internal;;Solukhumbu;;All;NFI;Blankets;All / Blanket;176;88;24150;39;30;Completed;18/09/2015;18/09/2015;2 Pcs. per HH VDC Dudhkunda
;;;26/09/2015;524 1 03 11;;ACTED;Internal;;Solukhumbu;;All;NFI;Buckets with lid;All / Blanket;88;88;;39;30;Completed;18/09/2015;18/09/2015;1 Pc. per HH VDC Dudhkunda
;;;26/09/2015;524 1 03 11;524 1 03 11 5 019;ACTED;Internal;;Solukhumbu;Kagel;All;Shelter;Tarpaulin;All / Blanket;28;14;4400;4;7;Completed;08/09/2015;08/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 019;ACTED;Internal;;Solukhumbu;Kagel;All;NFI;Blankets;All / Blanket;28;14;24150;4;7;Completed;08/09/2015;08/09/2015;2 Pcs. per HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 022;ACTED;Internal;;Solukhumbu;Nele;All;Shelter;Tarpaulin;All / Blanket;2;2;4400;1;1;Completed;07/09/2015;07/09/2015;2 tarps/HH
;;;26/09/2015;524 1 03 11;524 1 03 11 5 022;ACTED;Internal;;Solukhumbu;Nele;All;NFI;Blankets;All / Blanket;2;2;24150;1;1;Completed;07/09/2015;07/09/2015;2 Pcs. per HH
Priority;Tractor access;East;16/08/2015;524 2 04 22;524 2 04 22 5 015;ActionAid Nepal;DEC;;Dolakha;Hawa;;Shelter;CGI Bundle (72ft/bundle);Targeted group;750;500;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;Tractor access;East;16/08/2015;524 2 04 22;524 2 04 22 5 015;ActionAid Nepal;DEC;;Dolakha;Hawa;;Shelter;Tool Kits;Targeted group;500;500;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;Tractor access;East;16/08/2015;524 2 04 22;524 2 04 22 5 015;ActionAid Nepal;DEC;;Dolakha;Hawa;;Shelter;Fixings;Targeted group;500;500;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;Tractor access;East;16/08/2015;524 2 04 22;524 2 04 22 5 015;ActionAid Nepal;DEC;;Dolakha;Hawa;;Cash;Other Cash;Targeted group;;500;;500;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 23;524 2 05 23 5 059;ActionAid Nepal;RRF;;Sindhupalchok;Mahangkal;;Cash;Other Cash;All / Blanket;;702;;702;;Completed;06/01/2015;30/07/2015;
Priority;;Central;16/08/2015;524 2 05 29;524 2 05 29 5 007;ActionAid Nepal;;;Rasuwa;Laharepauwa;;Shelter;CGI Bundle (72ft/bundle);All / Blanket;1000;500;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 071;ActionAid Nepal;DEC;;Kabhrepalanchok;Jyamdi Mandan;;Shelter;CGI Bundle (72ft/bundle);Targeted group;128;85;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 071;ActionAid Nepal;DEC;;Kabhrepalanchok;Jyamdi Mandan;;Shelter;Tool Kits;Targeted group;85;85;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 071;ActionAid Nepal;DEC;;Kabhrepalanchok;Jyamdi Mandan;;Shelter;Fixings;Targeted group;85;85;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 071;ActionAid Nepal;DEC;;Kabhrepalanchok;Jyamdi Mandan;;Cash;Other Cash;Targeted group;;85;;85;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 071;ActionAid Nepal;IOM;;Kabhrepalanchok;Jyamdi Mandan;;Shelter;Tarpaulin;Targeted group;204;204;;;;Completed;01/06/2015;20/07/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 070;ActionAid Nepal;DEC;;Kabhrepalanchok;Jaisithok Mandan;;Shelter;CGI Bundle (72ft/bundle);Targeted group;98;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 070;ActionAid Nepal;DEC;;Kabhrepalanchok;Jaisithok Mandan;;Shelter;Tool Kits;Targeted group;65;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 070;ActionAid Nepal;DEC;;Kabhrepalanchok;Jaisithok Mandan;;Shelter;Fixings;Targeted group;65;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 070;ActionAid Nepal;DEC;;Kabhrepalanchok;Jaisithok Mandan;;Cash;Other Cash;Targeted group;;65;;65;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 070;ActionAid Nepal;IOM;;Kabhrepalanchok;Jaisithok Mandan;;Shelter;Tarpaulin;Targeted group;45;45;;;;Completed;01/06/2015;20/07/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 072;ActionAid Nepal;DEC;;Kabhrepalanchok;Mahadevsthan Mandan;;Shelter;CGI Bundle (72ft/bundle);Targeted group;83;55;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 072;ActionAid Nepal;DEC;;Kabhrepalanchok;Mahadevsthan Mandan;;Shelter;Tool Kits;Targeted group;55;55;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 072;ActionAid Nepal;DEC;;Kabhrepalanchok;Mahadevsthan Mandan;;Shelter;Fixings;Targeted group;55;55;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 072;ActionAid Nepal;DEC;;Kabhrepalanchok;Mahadevsthan Mandan;;Cash;Other Cash;Targeted group;;55;;55;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 072;ActionAid Nepal;IOM;;Kabhrepalanchok;Mahadevsthan Mandan;;Shelter;Tarpaulin;Targeted group;280;280;;;;Completed;01/06/2015;20/07/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 068;ActionAid Nepal;DEC;;Kabhrepalanchok;Chandeni Mandan;;Shelter;CGI Bundle (72ft/bundle);Targeted group;110;73;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 068;ActionAid Nepal;DEC;;Kabhrepalanchok;Chandeni Mandan;;Shelter;Tool Kits;Targeted group;73;73;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 068;ActionAid Nepal;DEC;;Kabhrepalanchok;Chandeni Mandan;;Shelter;Fixings;Targeted group;73;73;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 068;ActionAid Nepal;DEC;;Kabhrepalanchok;Chandeni Mandan;;Cash;Other Cash;targeted group;;73;;73;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 068;ActionAid Nepal;IOM;;Kabhrepalanchok;Chandeni Mandan;;Shelter;Tarpaulin;Targeted group;106;106;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 061;ActionAid Nepal;DEC;;Kabhrepalanchok;Naya Gaun Deupur;;Shelter;CGI Bundle (72ft/bundle);Targeted group;123;82;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 061;ActionAid Nepal;DEC;;Kabhrepalanchok;Naya Gaun Deupur;;Shelter;Tool Kits;Targeted group;82;82;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 061;ActionAid Nepal;DEC;;Kabhrepalanchok;Naya Gaun Deupur;;Shelter;Fixings;Targeted group;82;82;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 061;ActionAid Nepal;DEC;;Kabhrepalanchok;Naya Gaun Deupur;;Cash;Other Cash;Targeted group;;82;;82;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 061;ActionAid Nepal;IOM;;Kabhrepalanchok;Naya Gaun Deupur;;Shelter;Tarpaulin;Targeted group;127;127;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 060;ActionAid Nepal;DEC;;Kabhrepalanchok;Gairi Bisauna Deupur;;Shelter;CGI Bundle (72ft/bundle);Targeted group;98;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 060;ActionAid Nepal;DEC;;Kabhrepalanchok;Gairi Bisauna Deupur;;Shelter;Tool Kits;Targeted group;65;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 060;ActionAid Nepal;DEC;;Kabhrepalanchok;Gairi Bisauna Deupur;;Shelter;Fixings;Targeted group;65;65;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 060;ActionAid Nepal;DEC;;Kabhrepalanchok;Gairi Bisauna Deupur;;Cash;Other Cash;Targeted group;;65;;65;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 060;ActionAid Nepal;IOM;;Kabhrepalanchok;Gairi Bisauna Deupur;;Shelter;Tarpaulin;Targeted group;70;70;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 059;ActionAid Nepal;DEC;;Kabhrepalanchok;Baluwa Pati Naldhun;;Shelter;CGI Bundle (72ft/bundle);Targeted group;113;75;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 059;ActionAid Nepal;DEC;;Kabhrepalanchok;Baluwa Pati Naldhun;;Shelter;Tool Kits;Targeted group;75;75;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 059;ActionAid Nepal;DEC;;Kabhrepalanchok;Baluwa Pati Naldhun;;Shelter;Fixings;Targeted group;75;75;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 059;ActionAid Nepal;IOM;;Kabhrepalanchok;Baluwa Pati Naldhun;;Cash;Other Cash;Targeted group;;75;;75;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;;East;16/08/2015;524 2 05 24;524 2 05 24 5 059;ActionAid Nepal;;;Kabhrepalanchok;Baluwa Pati Naldhun;;Shelter;Tarpaulin;Targeted group;122;122;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 023;ActionAid Nepal;DEC;HOMENET;Lalitpur;Badikhel;;Cash;Other Cash;Targeted group;;50;;50;;Ongoing / In Country Stock;01/06/2015;01/11/2015;The average cost per HH for a comprehensive package of CGI, Toolkits and CfW is 25,000 rps. This is applicable on all the CfW, CGI and Toolkit lines
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 023;ActionAid Nepal;DEC;HOMENET;Lalitpur;Badikhel;;Shelter;CGI Bundle (72ft/bundle);Targeted group;100;50;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;Additionally, we offer technical support from an engineer or technical advisor on safe and sustainable HH construction
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 023;ActionAid Nepal;DEC;HOMENET;Lalitpur;Badikhel;;Shelter;Tool Kits;Targeted group;50;50;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;Procurement of materials for each line has been completed but construction is ongoing, due for completion by November. 
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 023;ActionAid Nepal;DEC;HOMENET;Lalitpur;Badikhel;;Shelter;Fixings;Targeted group;50;50;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 039;ActionAid Nepal;DEC;HOMENET;Lalitpur;Thecho;;Cash;Other Cash;Targeted group;;;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
Priority;0;Central;16/08/2015;524 2 05 25;524 2 05 25 5 039;ActionAid Nepal;DEC;HOMENET;Lalitpur;Thecho;;Shelter;CGI Bundle (72ft/bundle);Targeted group;100;50;;;;Ongoing / In Country Stock;01/06/2015;01/11/2015;
